,0
1899,governance
1900,ibm cognos
1901,qa methodology
1902,quality assurance standards
1903,sme
1904,test lead
1905,batch processing
1906,its
1907,instructor
1908,order processing
1909,acceptance testing
1910,data warehousing
1911,ibm rational software
1912,org development
1913,rational software
1914,rdb
1915,software qa
1916,user acceptance
1917,model view controller
1918,model-view-controller
1919,mvc
1920,application software
1921,asp.net 4.0
1922,award
1923,engines
1924,exceptions
1925,file
1926,invoice
1927,invoices
1928,long-term disability
1929,ltd
1930,r2
1931,sftp
1932,software engineer
1933,sql server 2012
1934,ui
1935,web based
1936,coldfusion
1937,prototype
1938,prototypes
1939,audio visual
1940,games
1941,fast learner
1942,landscaping
1943,including lunches
1944,determining relevance
1945,prioritization
1946,etc.
1947,copier
1948,including booking airfare
1949,vendors
1950,including vips
1951,greeting visitors
1952,leave tracking
1953,maintaining telephone directory
1954,customer service experience
1955,"data
entry"
1956,multi-line telephone
1957,effectively communicate
1958,priority
1959,review
1960,sccm
1961,macintosh os x
1962,mobile
1963,automate
1964,macintosh os
1965,network and support
1966,network & support
1967,hp servers
1968,it project management
1969,macola
1970,mas 90
1971,medical manager
1972,microsoft dynamics
1973,phone systems
1974,quickbooks
1975,solidworks
1976,terminal server
1977,toshiba
1978,adr
1979,cna 5.1
1980,corporate accounting
1981,educational programs
1982,employee relations
1983,internal audits
1984,inventory management
1985,leadership training
1986,regulatory compliance
1987,marketing plans
1988,novell netware 4.x
1989,certified novell administrator
1990,employee development
1991,backups
1992,xenapp
1993,hyper v
1994,dynamic crm
1995,dynamic  gp
1996,financial management
1997,office365
1998,improve products
1999,sales reports
2000,strategic plans
2001,cloud
2002,"active
directory"
2003,business plan
2004,network and systems
2005,microsoft office products
2006,microsoft windows xp
2007,multi-media
2008,novell network
2009,software design
2010,systems support
2011,tested
2012,review side effects
2013,drug interactions
2014,medical equipment
2015,side effects
2016,patient profiles
2017,charge system files
2018,weighed
2019,healthcare supplies
2020,business continuity
2021,technology infrastructure
2022,business process improvement
2023,cdm
2024,fulfillment
2025,opex
2026,provisioning
2027,retail marketing
2028,copy machine
2029,lending
2030,server virtualization
2031,virtualization
2032,directory service
2033,lan/wan
2034,workstations
2035,cissp
2036,journal
2037,systems security
2038,biochemistry
2039,procurement clerk
2040,purchasing agent
2041,computer programmer
2042,local area  network
2043,dynamics 365
2044,project
2045,powerapps
2046,powerbi
2047,flow
2048,ssharepoint
2049,intune
2050,ems
2051,ssis
2052,ssas)
2053,dax
2054,r
2055,qlik (qlikview/qliksense)
2056,sisense
2057,datorama
2058,yellowfin
2059,cisco switch management
2060,rdp
2061,automation anywhere
2062,rf devices
2063,ap
2064,automation tools
2065,clientele
2066,facility management
2067,floor plans
2068,renovation
2069,sales analysis
2070,supply chain management
2071,translating
2072,ventilation
2073,acquisitions
2074,disaster planning
2075,"enterprise
resource planning"
2076,facilities management
2077,operations management
2078,pc systems
2079,people skills
2080,process design
2081,"proposal
       development"
2082,front page
2083,internet access
2084,layout
2085,office applications
2086,all pc hardware
2087,develop policies
2088,power supply
2089,tops
2090,cisco router
2091,database applications
2092,windows 9
2093,property management
2094,radiology
2095,stockroom
2096,sops
2097,cafm
2098,p3
2099,restructuring
2100,space planning
2101,voice
2102,credit card
2103,packing
2104,payments
2105,warehouse inventory
2106,wireless
2107,wireless networks
2108,clarify
2109,data conversion
2110,data validation
2111,fixed asset
2112,fixed assets
2113,integration testing
2114,plant maintenance
2115,autocad
2116,course development
2117,dc
2118,leadership and development
2119,trainer workshops (t3)
